,Song,Artist,Album,artist_trunc,search_term,lyrics_raw
50,Where Are  Now,Jack  with Justin Bieber,Skrillex and Diplo Present Jack ,Jack with,Where Are  Now Jack with,error
51,Radioactive,Imagine Dragons,Night Visions,Imagine Dragons,Radioactive Imagine Dragons,"[Verse 1]
I'm waking up to ash and dust
I wipe my brow and I sweat my rust
I'm breathing in the chemicals

[Refrain]
I'm breaking in, shaping up
Checking out on the prison bus
This is it, the apocalypse – whoa

[Pre-Chorus]
I'm waking up, I feel it in my bones
Enough to make my systems blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

[Chorus]
Whoa, whoa – I'm radioactive, radioactive
Whoa, whoa – I'm radioactive, radioactive

[Verse 2]
I raise my flags, dye my clothes
It's a revolution, I suppose
We're painted red to fit right in, whoa

[Refrain]
I'm breaking in, shaping up
Checking out on the prison bus
This is it, the apocalypse – whoa

[Pre-Chorus]
I'm waking up, I feel it in my bones
Enough to make my systems blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

[Chorus]
Whoa, whoa – I'm radioactive, radioactive
Whoa, whoa – I'm radioactive, radioactive

[Bridge]
All systems go, sun hasn't died
Deep in my bones, straight from inside

[Pre-Chorus]
I'm waking up, I feel it in my bones
Enough to make my systems blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

[Chorus]
Whoa, whoa – I'm radioactive, radioactive
Whoa, whoa – I'm radioactive, radioactive"
52,"Me, Myself & I",G-Eazy and Bebe Rexha,When It's Dark Out,G-Eazy and,"Me, Myself & I G-Eazy and","[Hook]

It's just Me myself & God
You know I can't tell a lie
I was just tryna help the squad
Now they all want my demise
I guess I shouldn't be surprised
Can't figure me out cuz I can't be defined

[Schama Noel]


So what it is ?
I'm just tryna be the favorite rapper of your mothers kids
I don't gotta rap about drugs that's why all the white folks loving him
And people who don't like rap
You don't like me, guess you don't like words
What you got against printers?
It's Schama No L, what you got against winners?
Its bout to get cold, what you got against winters?
Nobody's perfect, what you got against sinners?
Lord knows I made my mistakes
So take my soul 'fo I lay by a lake
I pray heaven gates may await
New Gospel rap but my names not Lecrae
Girls hear this song they play it like its Drake
Guys hear this song & hate it like its Drake


[Hook]

[Verse 2]

But anyways
Been quite depressed for many days
Turn on the news, damn another stray
A cops the predator, a mother prays
And I'm sick of the Twitter beefs
All of y'all are bunch of mini me's
Only one Schama, not many me's
Can't mirror me nor mimic me
Get your bars up cuz you trash lyrically
As far as features, yeh there is a fee
Your girlfriend is mad that you isn't me
I know that it hurts
But I came from the dirt
See the blood in my eyes
And the stains on my shirt
Y'all don't know what love is
Mine in abundance
Y'all don't know the hustle
3 cops, 1 night by myself
Y'all don't know the struggle
And I won't elaborate
Just know that the devil is after me


[Hook]"
53,Chandelier,Sia,1000 Forms of Fear,Sia,Chandelier Sia,"[Produced by Greg Kurstin and Jesse Shatkin]
[Written by Sia and Jesse Shatkin]
[Video performed by Maddie Ziegler and choreographed by Ryan Heffington]

[Verse 1]
Party girls don't get hurt
Can't feel anything, when will I learn
I push it down, push it down
I'm the one ""for a good time call""
Phone's blowin' up, ringin' my doorbell
I feel the love, feel the love

[Pre-Chorus]
1 2 3, 1 2 3, drink
1 2 3, 1 2 3, drink
1 2 3, 1 2 3, drink
Throw 'em back till I lose count

[Chorus]
I'm gonna swing from the chandelier
From the chandelier
I'm gonna live like tomorrow doesn't exist
Like it doesn't exist
I'm gonna fly like a bird through the night
Feel my tears as they dry
I'm gonna swing from the chandelier
From the chandelier

[Post-Chorus]
But I'm holding on for dear life
Won't look down, won't open my eyes
Keep my glass full until morning light
'Cause I'm just holding on for tonight
Help me, I'm holding on for dear life
Won't look down, won't open my eyes
Keep my glass full until morning light
'Cause I'm just holding on for tonight
On for tonight

[Verse 2]
Sun is up, I'm a mess
Gotta get out now, gotta run from this
Here comes the shame, here comes the shame

[Pre-Chorus]
1 2 3, 1 2 3, drink
1 2 3, 1 2 3, drink
1 2 3, 1 2 3, drink
Throw 'em back till I lose count

[Chorus]
I'm gonna swing from the chandelier
From the chandelier
I'm gonna live like tomorrow doesn't exist
Like it doesn't exist
I'm gonna fly like a bird through the night
Feel my tears as they dry
I'm gonna swing from the chandelier
From the chandelier

[Post-Chorus]
But I'm holding on for dear life
Won't look down, won't open my eyes
Keep my glass full until morning light
'Cause I'm just holding on for tonight
Help me, I'm holding on for dear life
Won't look down, won't open my eyes
Keep my glass full until morning light
'Cause I'm just holding on for tonight
On for tonight

[Outro]
On for tonight
Yeah I'm just holding on for tonight
Oh, I'm just holding on for tonight
On for tonight, on for tonight
Yeah I'm just holding on for tonight
I'm just holding on for tonight
Oh, I'm just holding on for tonight
On for tonight, on for tonight"
54,The Hills,The Weeknd,Beauty Behind the Madness,The Weeknd,The Hills The Weeknd,"[Intro]
Yeah, yeah, yeah

[Verse 1]
Your man on the road, he doin' promo
You said, ""Keep our business on the low-low""
I'm just tryna get you out the friend zone
Cause you look even better than the photos
I can't find your house, send me the info
Drivin' through the gated residential
Found out I was comin', sent your friends home
Keep on tryna hide it but your friends know

[Chorus]
I only call you when it's half past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

[Verse 2]
I'ma let you know and keep it simple
Tryna keep it up don't seem so simple
I just fucked two bitches 'fore I saw you
And you gon' have to do it at my tempo
Always tryna send me off to rehab
Drugs started feelin' like it's decaf
I'm just tryna live life for the moment
And all these motherfuckers want a relapse

[Chorus]
I only call you when it's half past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

[Bridge]
Hills have eyes, the hills have eyes
Who are you to judge, who are you to judge?
Hide your lies, girl, hide your lies
Only you to trust, only you

[Chorus]
I only call you when it's half past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only fuck you when it's half past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

[Outro]
Ewedihalehu
Yene konjo, ewedihalehu
Yene fikir, fikir, fikir, fikir
Yene fikir, fikir, fikir, fikir"
55,It Ain't Me,Kygo and Selena Gomez,Stargazing,Kygo and,It Ain't Me Kygo and,"[Verse 1: Selena Gomez]
I had a dream
We were sipping whiskey neat
Highest floor, The Bowery
Nowhere's high enough
Somewhere along the lines
We stopped seeing eye to eye
You were staying out all night
And I had enough

[Pre-Chorus: Selena Gomez]
No, I don't wanna know
Where you been or where you're goin'
But I know I won't be home
And you'll be on your own

[Chorus: Selena Gomez]
Who's gonna walk you
Through the dark side of the morning?
Who's gonna rock you
When the sun won't let you sleep?
Who's waking up to drive you home
When you're drunk and all alone?
Who's gonna walk you
Through the dark side of the morning?

[Drop: Selena Gomez & Kygo]
It ain't me
The Bowery, whiskey neat...
It ain't me
The Bowery, whiskey neat...
It ain't me
The Bowery, whiskey neat...
It ain't me
The Bowery, whiskey neat...
It ain't me

[Verse 2: Selena Gomez]
I had a dream
We were back to seventeen
Summer nights and The Libertines
Never growing up
I'll take with me
The polaroids and the memories
But you know I'm gonna leave
Behind the worst of us

[Chorus: Selena Gomez]
Who's gonna walk you
Through the dark side of the morning?
Who's gonna rock you
When the sun won't let you sleep?
Who's waking up to drive you home
When you're drunk and all alone?
Who's gonna walk you
Through the dark side of the morning?

[Drop: Selena Gomez & Kygo]
It ain't me, no no
It ain't me, no no
It ain't me, no no
It ain't me, no no
Who's gonna walk you through the dark side of the morning?
It ain't me
The Bowery, whiskey neat...
It ain't me
The Bowery, whiskey neat...
It ain't me
The Bowery, whiskey neat..."
56,Congratulations,Post Malone featuring Quavo,Stoney,Post Malone,Congratulations Post Malone,"[Intro: Post Malone]
Mm-mmm
Yah, yah
Mm-mmm
Yah (hey)

[Chorus: Post Malone]
My momma called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say, ""Congratulations"" (uh, uh)
Worked so hard, forgot how to vacation (uh-huh)
They ain't never had the dedication (uh, uh)
People hatin', say we changed and look, we made it (uh, uh)
Yeah, we made it (uh, uh)

[Verse 1: Post Malone]
They was never friendly, yeah
Now I'm jumping out the Bentley, yeah
And I know I sound dramatic, yeah
But I know I had to have it, yeah
For the money, I'm a savage, yeah
I be itching like a addict, yeah
I'm surrounded, twenty bad bitches, yeah
But they didn't know me last year, yeah
Everyone wanna act like they important (yeah, yeah, yeah, yeah, yeah)
But all that mean nothing when I saw my dough, yuh (yeah, yeah, yeah, yeah, yeah)
Everyone countin' on me, drop the ball, yuh (yeah, yeah, yeah, yeah, yeah)
Everything custom like I'm at the border, yah, yah
If you fuck with winning, put your lighters to the sky
How could I make cents when I got millions on my mind?
Coming with that bullshit, I just put it to the side
Balling since a baby, they could see it in my eyes

[Chorus: Post Malone & Quavo]
My momma called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say, ""Congratulations"" (congratulations)
Worked so hard, forgot how to vacation (ooh)
They ain't never had the dedication (uh, uh, ayy)
People hatin', say we changed and look we made it (uh, uh)
Yeah, we made it (uh, uh, yah)

[Verse 2: Quavo]
I was patient (yah)
Uh, I was patient (ayy, uh)
Now I can scream that we made it (we made it)
Now everywhere, everywhere I go, they say 'gratulation (uh)
Young nigga, young nigga, graduation (yah)
I pick up the rock and I ball, baby (ball)
I'm looking for someone to call, baby (brr)
But right now, I got a situation (ayy)
Never old Ben-Ben Franklins (cash)
Big rings, champagne (ooh, champagne)
My life is like a ball game (ball game)
But instead, I'm in the trap though (trap though)
Pot so big, call it Super Bowl (Super Bowl)
Super Bowl, call the hoes (brr)
Get in the Rolls (skrrt)
Top-floor lifestyle (top)
Huncho and Post (yah, ayy) Malone (ayy)
I gotta play on my phone (ayy)
You know what I'm on (ayy)
Huncho Houdini is gone (ayy)

[Chorus: Post Malone & Quavo]
My momma called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say, ""Congratulations"" (ayy, uh, uh)
Worked so hard, forgot how to vacation (uh-huh, ooh)
They ain't never had the dedication (ayy, uh, uh)
People hatin', say we changed and look we made it (yah, uh, uh)
Yeah, we made it (ayy)

[Outro]
Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey"
57,Sugar,Maroon 5,V,Maroon 5,Sugar Maroon 5,"[Directed by David Dobkin]

[Verse 1]
I'm hurting baby, I'm broken down
I need your loving, loving I need it now
When I'm without you, I'm something weak
You got me begging, begging I'm on my knees

[Pre-Chorus]
I don't wanna be needing your love
I just wanna be deep in your love
And it's killing me when you're away
Ooh baby
Cause I really don't care where you are
I just wanna be there where you are
And I gotta get one little taste

[Chorus]
Sugar, yes please
Would you come and put it down on me?
I'm right here, cause I need
Little love, a little sympathy
Yeah you show me good loving, make it alright
Need a little sweetness in my life
Your sugar, yes please
Would you come and put it down on me?

[Verse 2]
Babe, my broken pieces, you pick them up
Don't leave me hanging, hanging come give me some
When I'm without you, I'm so insecure
You are the one thing, one thing I'm living for

[Pre-Chorus]
I don't wanna be needing your love
I just wanna be deep in your love
And it's killing me when you're away
Ooh baby
Cause I really don't care where you are
I just wanna be there where you are
And I gotta get one little taste

[Chorus]
Sugar, yes please
Would you come and put it down on me?
I'm right here, cause I need
Little love, a little sympathy
Yeah you show me good loving, make it alright
Need a little sweetness in my life
Your sugar, yes please
Would you come and put it down on me?

[Bridge]
I want that red velvet
I want that sugar sweet
Don't let nobody touch it unless that somebody's me
I gotta be a man, there ain't no other way
Cause girl you're hotter than a Southern California day
Never wanna play no games, you don't gotta be afraid
Don't give me all that shy shit
No makeup on, that's my sugar

[Chorus]
Sugar, yes please
Would you come and put it down on me?
I'm right here, cause I need
Little love, a little sympathy
Yeah you show me good loving, make it alright
Need a little sweetness in my life
Your sugar, yes please
Would you come and put it down on me?

[Chorus]
Sugar, yes please
Would you come and put it down on me?
I'm right here, cause I need
Little love, a little sympathy
Yeah you show me good loving, make it alright
Need a little sweetness in my life
Your sugar, yes please
Would you come and put it down on me?"
58,I Don't Wanna Live Forever,ZAYN and Taylor Swift,Fifty Shades Darker: Original Motion Picture Soundtrack,ZAYN and,I Don't Wanna Live Forever ZAYN and,"[Verse 1: ZAYN]
Been sitting eyes wide open behind these four walls, hoping you'd call
It's just a cruel existence like it's no point hoping at all

[Pre-Chorus 1: ZAYN]
Baby, baby, I feel crazy
Up all night, all night and every day
Give me something, oh, but you say nothing
What is happening to me?

[Chorus: ZAYN]
I don't wanna live forever, 'cause I know I'll be living in vain
And I don't wanna fit wherever
I just wanna keep calling your name until you come back home
I just wanna keep calling your name until you come back home
I just wanna keep calling your name until you come back home

[Verse 2: Taylor Swift]
I'm sitting eyes wide open and I got one thing stuck in my mind
Wondering if I dodged a bullet or just lost the love of my life

[Pre-Chorus 2: Taylor Swift]
Baby, baby, I feel crazy
Up all night, all night and every day
I gave you something, but you gave me nothing
What is happening to me?

[Chorus: ZAYN & (Taylor Swift)]
I don't wanna live forever, 'cause I know I'll be living in vain
And I don't wanna fit (fit, babe) wherever (wherever)
I just wanna keep calling your name until you come back home
I just wanna keep calling your name until you come back home
I just wanna keep calling your name until you come back home

[Bridge: Taylor Swift, ZAYN & Both]
I've been looking sad in all the nicest places
Baby, baby, I feel crazy
I see you around in all these empty faces
Up all night, all night and every day
I've been looking sad in all the nicest places
Give me something, oh, but you say nothing
Now I'm in a cab, I tell 'em where your place is
What is happening to me?

[Chorus: ZAYN]
I don't wanna live forever, 'cause I know I'll be living in vain
And I don't wanna fit wherever
I just wanna keep calling your name until you come back home
I just wanna keep calling your name until you come back home
I just wanna keep calling your name until you come back home
I just wanna keep calling your name until you come back home
I just wanna keep calling your name until you come back home

[Outro: Taylor Swift & ZAYN]
I just wanna keep calling your name until you come back home
Until you come back home"
59,That's What I Like,Bruno Mars,24K Magic,Bruno Mars,That's What I Like Bruno Mars,"[Verse 1]
Hey, hey, hey
I got a condo in Manhattan
Baby girl, what's hatnin'?
You and your ass invited
So gon' and get to clappin'
So pop it for a player
Pop, pop it for me
Turn around and drop it for a player
Drop, drop it for me
I'll rent a beach house in Miami
Wake up with no jammies (Nope)
Lobster tail for dinner
Julio serve that scampi (Julio!)
You got it if you want it
Got, got it if you want it
Said you got it if you want it
Take my wallet if you want it now

[Pre-Chorus]
Jump in the Cadillac, girl, let's put some miles on it
Anything you want, just to put a smile on it
You deserve it baby, you deserve it all
And I'm gonna give it to you

[Chorus]
Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

[Verse 2]
I'm talkin' trips to Puerto Rico
Say the word and we go
You can be my freaka
Girl, I'll be a fleeko, mamacita
I will never make a promise that I can't keep
I promise that your smile ain't gon' never leave
Shopping sprees in Paris
Everything 24 karats
Take a look in that mirror
Now tell me who's the fairest
Is it you? (is it you?) Is it me? (is it me?)
Say it's us (say it's us) and I'll agree, baby

[Pre-Chorus]
Jump in the Cadillac, girl, let's put some miles on it
Anything you want, just to put a smile on it
You deserve it baby, you deserve it all
And I'm gonna give it to you

[Chorus]
Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

[Bridge]
If you say you want a good time
Well here I am baby, here I am baby
Talk to me, talk to me, talk to me
Tell me what's on your mind (what's on your mind)
If you want it, girl come and get it
All this is here for you
Tell me baby, tell me, tell me baby
What you tryna do

[Chorus]
Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like"
60,We Don't Talk Anymore,Charlie Puth featuring Selena Gomez,Nine Track Mind,Charlie Puth,We Don't Talk Anymore Charlie Puth,"[Chorus: Charlie Puth]
We don't talk anymore, we don't talk anymore
We don't talk anymore, like we used to do
We don't laugh anymore
What was all of it for?
Oh, we don't talk anymore
Like we used to do

[Verse 1: Charlie Puth]
I just heard you found the one you've been looking
You've been looking for
I wish I would have known that wasn't me
'Cause even after all this time I still wonder
Why I can't move on
Just the way you did so easily

[Pre-Chorus 1: Charlie Puth]
Don't wanna know
What kind of dress you're wearing tonight
If he's holding onto you so tight
The way I did before
I overdosed
Should've known your love was a game
Now I can't get you out of my brain
Oh, it's such a shame

[Chorus: Charlie Puth]
That we don't talk anymore, we don't talk anymore
We don't talk anymore, like we used to do
We don't laugh anymore
What was all of it for?
Oh, we don't talk anymore
Like we used to do

[Verse 2: Selena Gomez]
I just hope you're lying next to somebody
Who knows how to love you like me
There must be a good reason that you're gone
Every now and then I think you
Might want me to come show up at your door
But I'm just too afraid that I'll be wrong

[Pre-Chorus 2: Selena Gomez]
Don't wanna know
If you're looking into her eyes
If she's holding onto you so tight
The way I did before
I overdosed
Should've known your love was a game
Now I can't get you out of my brain
Oh, it's such a shame

[Chorus: Charlie Puth]
That we don't talk anymore, we don't talk anymore
We don't talk anymore, like we used to do
We don't laugh anymore
What was all of it for?
Oh, we don't talk anymore
Like we used to do
Like we used to do

[Pre-Chorus 2: Charlie Puth & Selena Gomez]
Don't wanna know
What kind of dress you're wearing tonight
If he's giving it to you just right
The way I did before
I overdosed
Should've known your love was a game
Now I can't get you out of my brain
Oh, it's such a shame

[Chorus: Charlie Puth & Selena Gomez]
That we don't talk anymore, we don't talk anymore
We don't talk anymore, like we used to do
We don't laugh anymore
What was all of it for?
Oh, we don't talk anymore
Like we used to do

[Outro: Charlie Puth & Selena Gomez]
We don't talk anymore, oh, oh
(What kind of dress you're wearing tonight)
(If he's holding onto you so tight)
The way I did before
We don't talk anymore, oh, woah
(Should've known your love was a game)
(Now I can't get you out of my brain)
Oh, it's such a shame
That we don't talk anymore"
61,Lush Life,Zara Larsson,So Good,Zara Larsson,Lush Life Zara Larsson,"[Chorus]
I live my day as if it was the last
Live my day as if there was no past
Doin' it all night, all summer
Doin' it the way I wanna
Yeah, I'ma dance my heart out 'til the dawn
But I won't be done when mornin' comes
Doin' it all night, all summer
Gonna spend it like no other

[Verse 1]
It was a crush
But I couldn't, couldn't get enough
It was a rush
But I gave it up
It was a crush
Now, I might've went and said too much
But, that's all it was
So, I gave it up

[Chorus]
I live my day as if it was the last
Live my day as if there was no past
Doin' it all night, all summer
Doin' it the way I wanna
Yeah, I'ma dance my heart out 'til the dawn
But I won't be done when mornin' comes
Doin' it all night, all summer
Gonna spend it like no other

[Verse 2]
It was a crush
I kept sayin' I'ma stay in touch
But that thing went bust
So I gave it up, ooh
No tricks, no bluff
I'm just better off without them cuffs
Yeah, the sun won't set on us
Ooh-ooh-ooh-ooh, yeah, yeah

[Bridge]
Went low, went high
Still waters run dry
Gotta get back in the groove
I ain’t ever worried
Went low, went high, what matters is now
Gettin' right back in the mood

[Chorus]
I live my day as if it was the last
Live my day as if there was no past
Doin' it all night, all summer
Doin' it the way I wanna
Yeah, I'ma dance my heart out 'til the dawn
But I won't be done when mornin' comes
Doin' it all night, all summer
Gonna spend it like no other
Now I've found another crush
The lush life's given me a rush
Had one chance to make me blush
Second time is one too late
Now I've found another crush
The lush life's given me a rush
Had one chance to make me blush
Second time is one too late

[Interlude]

[Chorus]
I live my day as if it was the last
Live my day as if there was no past
Doin' it all night, all summer
Doin' it the way I wanna
Yeah, I'ma dance my heart out 'til the dawn
But I won't be done when mornin' comes
Doin' it all night, all summer
Gonna spend it like no other
Now I've found another crush
The lush life's given me a rush
Had one chance to make me blush
Second time is one too late
Now I've found another crush
The lush life's given me a rush
Had one chance to make me blush
Second time is one too late"
62,Cake by the Ocean,DNCE,DNCE,DNCE,Cake by the Ocean DNCE,"[Verse 1]
Oh, no
See you walking 'round like it's a funeral
Not so serious girl; why those feet cold?
We just getting started, don't you tiptoe, tiptoe

[Pre-Chorus]
Waste time with a masterpiece
Don't waste time with a masterpiece
You should be rolling with me
You should be rolling with me
You're a real-life fantasy
You're a real-life fantasy
But you're moving so carefully
Let's start living dangerously

[Chorus]
Talk to me, baby
I’m goin' blind from this sweet sweet craving, whoa-oh
Let's lose our minds and go fucking crazy
Ah ya ya ya ya I
Keep on hopin' we'll eat cake by the ocean
Walk for me, baby
I'll be Diddy, you'll be Naomi, whoa-oh
Let's lose our minds and go fucking crazy
Ah ya ya ya ya I
Keep on hopin' we'll eat cake by the ocean

[Verse 2]
Goddamn
See you licking frosting from your own hands
Want another taste, I'm begging, yes ma'am
I'm tired of all this candy on the dry land, dry land, oh

[Pre-Chorus]
Waste time with a masterpiece
Don't waste time with a masterpiece
You should be rolling with me
You should be rolling with me, ah
You're a real-life fantasy
You're a real-life fantasy
But you're moving so carefully
Let's start living dangerously

[Chorus]
Talk to me, baby
I’m going blind from this sweet sweet craving, whoa-oh
Let's lose our minds and go fucking crazy
Ah ya ya ya ya I keep on hoping we'll eat cake by the ocean
Walk for me, baby (walk for me now)
I'll be Diddy, you'll be Naomi, whoa-oh
Let's lose our minds and go fucking crazy
Ah ya ya ya ya I keep on hoping we'll eat cake by the ocean
Ah ya ya ya ya I keep on hoping we'll eat cake by the ocean
Ah ya ya ya ya I keep on hoping we'll eat cake by the ocean

[Bridge]
You're fucking delicious
Talk to me, girl

[Chorus]
Talk to me, baby
I’m going blind from this sweet sweet craving, whoa-oh
Let's lose our minds and go fucking crazy
Ah ya ya ya ya I keep on hoping we'll eat cake by the ocean
Walk for me, baby (walk for me now)
I'll be Diddy, you'll be Naomi, whoa-oh
Let's lose our minds and go fucking crazy
Ah ya ya ya ya I keep on hoping we'll eat cake by the ocean

[Outro]
Red velvet, vanilla, chocolate in my life
Funfetti, I'm ready; I need it every night
Red velvet, vanilla, chocolate in my life
Ah ya ya ya ya I keep on hoping we'll eat cake by the ocean"
63,Love Me Like You Do,Ellie Goulding,Fifty Shades of Grey: Original Motion Picture Soundtrack,Ellie Goulding,Love Me Like You Do Ellie Goulding,"[Produced by Max Martin]

[Verse 1]
You're the light, you're the night
You're the colour of my blood
You're the cure, you're the pain
You're the only thing I wanna touch
Never knew that it could mean so much, so much

[Verse 2]
You're the fear, I don't care
Cause I've never been so high
Follow me through the dark
Let me take you past the satellites
You can see the world you brought to life, to life

[Chorus]
So love me like you do, la-la-love me like you do
Love me like you do, la-la-love me like you do
Touch me like you do, ta-ta-touch me like you do
What are you waiting for?

[Verse 3]
Fading in, fading out
On the edge of paradise
Every inch of your skin is a Holy Grail I've got to find
Only you can set my heart on fire, on fire
Yeah

[Bridge]
I'll let you set the pace
Cause I'm not thinking straight
My head's spinning around, I can't see clear no more
What are you waiting for?

[Chorus]
Love me like you do, la-la-love me like you do
Love me like you do, la-la-love me like you do
Touch me like you do, ta-ta-touch me like you do
What are you waiting for?
Love me like you do, la-la-love me like you do
Love me like you do, la-la-love me like you do
Touch me like you do, ta-ta-touch me like you do
What are you waiting for?

[Bridge]
I'll let you set the pace
Cause I'm not thinking straight
My head's spinning around, I can't see clear no more
What are you waiting for?

[Chorus]
Love me like you do, la-la-love me like you do
Love me like you do, la-la-love me like you do
Touch me like you do, ta-ta-touch me like you do
What are you waiting for?
Love me like you do, la-la-love me like you do
Love me like you do, la-la-love me like you do
Touch me like you do, ta-ta-touch me like you do
What are you waiting for?"
64,Thunder,Imagine Dragons,Evolve,Imagine Dragons,Thunder Imagine Dragons,"[Verse 1]
Just a young gun with a quick fuse
I was uptight, wanna let loose
I was dreaming of bigger things
And wanna leave my old life behind
Not a yessir, not a follower
Fit the box, fit the mold
Have a seat in the foyer, take a number
I was lightning before the thunder

[Chorus]
Thunder, feel the thunder
Lightning then the thunder
Thunder, feel the thunder
Lightning then the thunder
Thunder, thunder
Thunder

[Verse 2]
Kids were laughing in my classes
While I was scheming for the masses
Who do you think you are?
Dreaming 'bout being a big star
They say you're basic, they say you're easy
You're always riding in the backseat
Now I'm smiling from the stage
While you were clapping in the nose bleeds

[Chorus]
Thunder, feel the thunder
Lightning then the thunder
Thunder, feel the thunder
Lightning then the thunder
Thunder

[Bridge]
Thunder, feel the thunder
Lightning then the thunder, thunder

[Chorus]
Thunder, feel the thunder
Lightning then the thunder, thunder
Thunder, feel the thunder
Lightning then the thunder, thunder
Thunder, feel the thunder
Lightning then the thunder, thunder
Thunder, feel the thunder
Lightning then the thunder, thunder"
65,Ride,Twenty One Pilots,Blurryface,Twenty One,Ride Twenty One,"[Verse 1]
I just wanna stay in the sun where I find
I know it's hard sometimes
Pieces of peace in the sun's peace of mind
I know it's hard sometimes
Yeah I think about the end just way too much
But it's fun to fantasize
On my enemies I wouldn't wish who I was
But it's fun to fantasize

[Chorus]
Oh Oh Ohhh Oh Oh Ohhh I'm falling
So I'm taking my time on my ride
Oh Oh Ohhh I'm falling
So I'm taking my time on my ride
Taking my time on my ride

[Verse 2]
""I'd die for you,"" that's easy to say
We have a list of people that we would take
A bullet for them, a bullet for you
A bullet for everybody in this room
But I don't seem to see many bullets coming through
See many bullets coming through
Metaphorically I'm the man
But literally I don't know what I'd do
""I'd live for you,"" and that's hard to do
Even harder to say when you know it's not true
Even harder to write when you know that tonight
There were people back home who tried talking to you
But then you ignore them still
All these questions they’re for real
Like who would you live for? Who would you die for?
And would you ever kill?

[Chorus]
Oh Oh Ohhh Oh Oh Ohhh I'm falling
So I'm taking my time on my ride
Oh Oh Ohhh I'm falling
So I'm taking my time on my ride
Taking my time on my ride

[Bridge]
I've been thinking too much
I've been thinking too much
I've been thinking too much
I've been thinking too much
Help me
I've been thinking too much
(I've been thinking too much)
I've been thinking too much
Help me
I've been thinking too much
(I've been thinking too much)
I've been thinking too much

[Chorus]
Oh Oh Ohh Oh Oh Ohh I'm falling
So I'm taking my time on my ride Oh Oh Ohh
I'm falling so I'm taking my time
Taking my time on my ride woah oh oh
Oh Oh Ohh Oh Oh Ohh I'm falling
So I'm taking my time on my ride Oh Oh Ohh
I'm falling so I'm taking my time on my

[Outro]
I’ve been thinking too much
Help me
I’ve been thinking too much
Help me
I’ve been thinking too much
I’ve been thinking too much
I’ve been thinking too much
Help me
I’ve been thinking too much
I’ve been thinking too much
I’ve been thinking too much
Help me"
